time,portrait_energy,double_well_energy,max_channel_mean_drift,mean_R,mean_G,mean_B
8.500000000000000000e+01,2.924884708428437472e-06,6.805160473870604243e-02,1.179611963664228824e-14,2.563580159627852351e-01,2.349979575163303191e-01,9.989267141150556806e-02
8.750000000000000000e+01,2.833720928523021852e-06,6.756671386574310267e-02,1.293409823688307370e-14,2.563580159627861788e-01,2.349979575163291812e-01,9.989267141150512397e-02
9.000000000000000000e+01,2.747819201635859439e-06,6.709157302353564722e-02,1.551536676913656265e-14,2.563580159627843469e-01,2.349979575163265999e-01,9.989267141150495743e-02
9.250000000000000000e+01,2.666742890581412485e-06,6.663223049357300254e-02,1.387778780781445676e-14,2.563580159627852906e-01,2.349979575163282375e-01,9.989267141150440232e-02
9.500000000000000000e+01,2.590102221524295073e-06,6.618829276989629529e-02,1.260103132949552673e-14,2.563580159627805166e-01,2.349979575163300138e-01,9.989267141150523499e-02
9.750000000000000000e+01,2.517548201833637412e-06,6.575341283013041993e-02,1.351696532481128088e-14,2.563580159627824040e-01,2.349979575163285983e-01,9.989267141150427742e-02
1.000000000000000000e+02,2.448767453448378745e-06,6.532377977768365207e-02,1.726396803292118420e-14,2.563580159627781851e-01,2.349979575163248513e-01,9.989267141150555418e-02
1.025000000000000000e+02,2.383477805983300204e-06,6.490702962640429452e-02,1.443289932012703503e-14,2.563580159627786847e-01,2.349979575163305690e-01,9.989267141150368068e-02
1.050000000000000000e+02,2.321424523249327153e-06,6.450328949903844089e-02,1.493249968120835547e-14,2.563580159627834587e-01,2.349979575163271828e-01,9.989267141150304230e-02
1.075000000000000000e+02,2.262377060201210495e-06,6.410997735646124795e-02,1.557087792036782048e-14,2.563580159627794619e-01,2.349979575163265444e-01,9.989267141150416640e-02
1.100000000000000000e+02,2.206126265935219056e-06,6.373053686667243256e-02,1.443289932012703503e-14,2.563580159627825150e-01,2.349979575163276824e-01,9.989267141150356966e-02
1.125000000000000000e+02,2.152481963279910550e-06,6.336724110279849664e-02,1.337818744673313631e-14,2.563580159627797395e-01,2.349979575163296808e-01,9.989267141150384721e-02
1.150000000000000000e+02,2.101270847548700238e-06,6.300894668245868302e-02,1.421085471520200372e-14,2.563580159627789068e-01,2.349979575163293755e-01,9.989267141150277862e-02
1.175000000000000000e+02,2.052334656763759613e-06,6.265210194928354237e-02,1.601496713021788310e-14,2.563580159627774635e-01,2.349979575163261003e-01,9.989267141150366680e-02
1.200000000000000000e+02,2.005528573588333730e-06,6.229596984248218783e-02,1.670885652060860593e-14,2.563580159627780741e-01,2.349979575163254064e-01,9.989267141150214024e-02
1.225000000000000000e+02,1.960719825685631611e-06,6.194416270991092571e-02,1.879052469178077445e-14,2.563580159627781851e-01,2.349979575163233247e-01,9.989267141150282026e-02
1.250000000000000000e+02,1.917786456543572466e-06,6.159768371642992957e-02,1.573741137406159396e-14,2.563580159627775745e-01,2.349979575163263779e-01,9.989267141150252882e-02
1.275000000000000000e+02,1.876616243191677953e-06,6.125398048784722049e-02,1.726396803292118420e-14,2.563580159627774080e-01,2.349979575163248513e-01,9.989267141150194596e-02
1.300000000000000000e+02,1.837105740867254399e-06,6.092016367709802288e-02,2.131628207280300558e-14,2.563580159627718014e-01,2.349979575163238521e-01,9.989267141150255658e-02
1.325000000000000000e+02,1.799159437704585505e-06,6.059948370718225286e-02,1.890154699424329010e-14,2.563580159627765198e-01,2.349979575163232137e-01,9.989267141150139084e-02
1.350000000000000000e+02,1.762689005035894193e-06,6.027957819677368101e-02,1.712519015484303964e-14,2.563580159627764643e-01,2.349979575163249901e-01,9.989267141150159901e-02
1.375000000000000000e+02,1.727612630997250066e-06,5.995855719566099001e-02,1.970645868709652859e-14,2.563580159627760757e-01,2.349979575163224088e-01,9.989267141150011409e-02
1.400000000000000000e+02,1.693854426899035111e-06,5.963190060184717090e-02,1.826316875508382509e-14,2.563580159627748545e-01,2.349979575163239076e-01,9.989267141150201534e-02
1.425000000000000000e+02,1.661343897308331190e-06,5.930579574094071993e-02,1.948441408217149728e-14,2.563580159627766308e-01,2.349979575163226309e-01,9.989267141150115492e-02
1.450000000000000000e+02,1.630015466047265548e-06,5.899959055962620408e-02,2.284283873166259582e-14,2.563580159627742994e-01,2.349979575163192724e-01,9.989267141149961449e-02
1.475000000000000000e+02,1.599808051376182791e-06,5.871631955977597850e-02,1.870725796493388771e-14,2.563580159627770749e-01,2.349979575163234080e-01,9.989267141149937856e-02
1.500000000000000000e+02,1.570664684535238274e-06,5.845321774111597590e-02,2.148281552649677906e-14,2.563580159627724120e-01,2.349979575163206325e-01,9.989267141149917040e-02
1.525000000000000000e+02,1.542532166588942066e-06,5.820549182556546824e-02,2.237099394619690429e-14,2.563580159627707467e-01,2.349979575163207990e-01,9.989267141149864304e-02
1.550000000000000000e+02,1.515360759176783385e-06,5.796542395404974402e-02,2.020605904817784904e-14,2.563580159627738553e-01,2.349979575163219092e-01,9.989267141149911489e-02
1.575000000000000000e+02,1.489103905337223871e-06,5.772910451693343686e-02,2.092770401418420079e-14,2.563580159627731336e-01,2.349979575163211876e-01,9.989267141149801854e-02
1.600000000000000000e+02,1.463717977056774449e-06,5.749599321897568699e-02,2.339795024397517409e-14,2.563580159627714683e-01,2.349979575163187173e-01,9.989267141149928142e-02
1.625000000000000000e+02,1.439162046612854901e-06,5.726595478298510816e-02,2.423061751244404149e-14,2.563580159627737443e-01,2.349979575163178847e-01,9.989267141149903162e-02
1.650000000000000000e+02,1.415397679138912748e-06,5.704317093803418226e-02,2.536859611268482695e-14,2.563580159627714683e-01,2.349979575163167467e-01,9.989267141149928142e-02
1.675000000000000000e+02,1.392388744151406543e-06,5.682760281258454615e-02,2.303712776097199821e-14,2.563580159627705246e-01,2.349979575163190781e-01,9.989267141149843487e-02
1.700000000000000000e+02,1.370101244047879893e-06,5.661912491711840190e-02,2.620126338115369435e-14,2.563580159627669164e-01,2.349979575163194112e-01,9.989267141149836549e-02
1.725000000000000000e+02,1.348503157819535507e-06,5.641300255867569974e-02,2.475797344914099085e-14,2.563580159627695254e-01,2.349979575163173573e-01,9.989267141149826834e-02
1.750000000000000000e+02,1.327564298425544573e-06,5.620504625244193003e-02,2.262079412673756451e-14,2.563580159627712463e-01,2.349979575163194945e-01,9.989267141149782425e-02
1.775000000000000000e+02,1.307256182454039771e-06,5.599843220139995303e-02,2.234323837058127538e-14,2.563580159627709687e-01,2.349979575163197720e-01,9.989267141149804630e-02
1.800000000000000000e+02,1.287551910850031449e-06,5.579327905393748066e-02,2.553512956637860043e-14,2.563580159627675825e-01,2.349979575163214929e-01,9.989267141149690832e-02
1.825000000000000000e+02,1.268426059626463855e-06,5.558495437628675068e-02,2.398081733190338127e-14,2.563580159627691368e-01,2.349979575163199108e-01,9.989267141149778262e-02
1.850000000000000000e+02,1.249854579593810302e-06,5.537499523298213683e-02,2.695066392277567502e-14,2.563580159627670274e-01,2.349979575163151646e-01,9.989267141149700546e-02
1.875000000000000000e+02,1.231814704248399381e-06,5.516500460489544289e-02,2.609024107869117870e-14,2.563580159627679156e-01,2.349979575163160250e-01,9.989267141149563156e-02
1.900000000000000000e+02,1.214284865051816616e-06,5.495723031820074628e-02,2.814415367424771830e-14,2.563580159627693034e-01,2.349979575163139711e-01,9.989267141149531237e-02
1.925000000000000000e+02,1.197244613415031848e-06,5.475696396690558909e-02,2.708944180085381959e-14,2.563580159627670274e-01,2.349979575163150258e-01,9.989267141149572871e-02
1.950000000000000000e+02,1.180674548772659832e-06,5.456891719150474412e-02,2.625677453238495218e-14,2.563580159627673050e-01,2.349979575163158585e-01,9.989267141149472951e-02
1.975000000000000000e+02,1.164556252196229744e-06,5.438572602971124270e-02,2.708944180085381959e-14,2.563580159627660282e-01,2.349979575163153311e-01,9.989267141149529849e-02
2.000000000000000000e+02,1.148872225051588397e-06,5.420354406783403634e-02,2.736699755701010872e-14,2.563580159627666388e-01,2.349979575163147483e-01,9.989267141149471563e-02
