step,dimensionless_time,mean_c,energy_density
1120,224.0,-6.071532165918825e-17,0.11441028815391496
1130,226.0,-5.984795992119984e-17,0.11413166267919225
1140,228.0,-5.551115123125783e-17,0.1138551139224813
1150,230.0,-5.984795992119984e-17,0.1135804148868606
1160,232.0,-6.591949208711867e-17,0.11330731391108734
1170,234.0,-5.4643789493269423e-17,0.1130355210758249
1180,236.0,-5.898059818321144e-17,0.11276469364599863
1190,238.0,-5.984795992119984e-17,0.11249442102408638
1200,240.0,-5.637851296924623e-17,0.11222422568539794
1210,242.0,-6.071532165918825e-17,0.11195361899996575
1220,244.0,-7.45931094670027e-17,0.11168225037920754
1230,246.0,-7.19910242530375e-17,0.11141011312609164
1240,248.0,-6.678685382510707e-17,0.11113764219541739
1250,250.0,-5.2909066017292616e-17,0.11086556137127485
1260,252.0,-5.811323644522304e-17,0.1105945889132054
1270,254.0,-7.19910242530375e-17,0.11032524058601818
1280,256.0,-6.938893903907228e-17,0.1100578058275441
1290,258.0,-5.637851296924623e-17,0.10979241255605418
1300,260.0,-5.637851296924623e-17,0.10952909534574223
1310,262.0,-5.637851296924623e-17,0.10926783733398171
1320,264.0,-7.632783294297951e-17,0.10900858880818326
1330,266.0,-7.892991815694472e-17,0.10875127381697933
1340,268.0,-6.765421556309548e-17,0.10849579537135823
1350,270.0,-6.765421556309548e-17,0.10824204508539112
1360,272.0,-7.632783294297951e-17,0.10798991574835823
1370,274.0,-7.025630077706069e-17,0.10773931016789123
1380,276.0,-7.546047120499111e-17,0.10749014068638163
1390,278.0,-8.153200337090993e-17,0.10724231914644418
1400,280.0,-7.546047120499111e-17,0.10699574178499391
1410,282.0,-8.326672684688674e-17,0.10675027433387718
1420,284.0,-7.719519468096792e-17,0.1065057393604595
1430,286.0,-8.586881206085195e-17,0.10626190236447475
1440,288.0,-9.540979117872439e-17,0.10601844792193349
1450,290.0,-7.979727989493313e-17,0.1057749353399636
1460,292.0,-7.806255641895632e-17,0.105530729296827
1470,294.0,-8.066464163292153e-17,0.10528492586045415
1480,296.0,-7.632783294297951e-17,0.1050363664969723
1490,298.0,-7.19910242530375e-17,0.10478396042650341
1500,300.0,-7.45931094670027e-17,0.10452747000427781
1510,302.0,-7.892991815694472e-17,0.10426815697784006
1520,304.0,-7.806255641895632e-17,0.10400822214048945
1530,306.0,-7.112366251504909e-17,0.10374956255266773
1540,308.0,-7.719519468096792e-17,0.10349324374359928
1550,310.0,-7.979727989493313e-17,0.1032396959110094
1560,312.0,-7.719519468096792e-17,0.10298903089289765
1570,314.0,-5.811323644522304e-17,0.10274124744999269
1580,316.0,-5.551115123125783e-17,0.10249632857539147
1590,318.0,-5.811323644522304e-17,0.1022542687103761
1600,320.0,-4.85722573273506e-17,0.10201506308012001
