time,AC_mean,CH_mean,AC_energy_per_area,CH_energy_per_area
1.343221378436622082e+01,2.260154574525122528e-01,2.260154574525122528e-01,7.387870625594938900e-02,1.565782045822454449e-01
1.457527380277318763e+01,2.260154574525122806e-01,2.260154574525122251e-01,6.898168555654939083e-02,1.558883312371739105e-01
1.581560640979851762e+01,2.260154574525122528e-01,2.260154574525122528e-01,6.403444144748715594e-02,1.551497641220667967e-01
1.716148934794404468e+01,2.260154574525122251e-01,2.260154574525122251e-01,5.906674702311484615e-02,1.543599388119108462e-01
1.862190478242616365e+01,2.260154574525122251e-01,2.260154574525122528e-01,5.411130797435412254e-02,1.535163030145609286e-01
2.020659924642788852e+01,2.260154574525122251e-01,2.260154574525122528e-01,4.920334042592549445e-02,1.526163463867572789e-01
2.192614868759648772e+01,2.260154574525122528e-01,2.260154574525122806e-01,4.437998367059647203e-02,1.516576352449812981e-01
2.379202904989452705e+01,2.260154574525122528e-01,2.260154574525122528e-01,3.967954151630833509e-02,1.506378524447358203e-01
2.581669286185415402e+01,2.260154574525122528e-01,2.260154574525122251e-01,3.514055579075400088e-02,1.495548426075715698e-01
2.801365234236993018e+01,2.260154574525122251e-01,2.260154574525122806e-01,3.080072812964159551e-02,1.484066627448320519e-01
3.039756957866238452e+01,2.260154574525122528e-01,2.260154574525122528e-01,2.669572115229272569e-02,1.471916381551785502e-01
3.298435437824279148e+01,2.260154574525122528e-01,2.260154574525122251e-01,2.285788668506247984e-02,1.459084232546344895e-01
3.579127044792438284e+01,2.260154574525122251e-01,2.260154574525122528e-01,1.931498547167507379e-02,1.445560667295937296e-01
3.883705060849852941e+01,2.260154574525122528e-01,2.260154574525122528e-01,1.608897788787698457e-02,1.431340800835468607e-01
4.214202181399645042e+01,2.260154574525122806e-01,2.260154574525122251e-01,1.319497614372540026e-02,1.416425082789395384e-01
4.572824080989121143e+01,2.260154574525122528e-01,2.260154574525122528e-01,1.064045261722489089e-02,1.400820007627040231e-01
4.961964133559679624e+01,2.260154574525122528e-01,2.260154574525122251e-01,8.424793711689601214e-03,1.384538807193850807e-01
